movie_id,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,votes,genres,production_companies,production_countries,overview
14,0.008,0.021468031678578327,0.4175824175824176,0.005267262495669199,0.5636363636363636,0.30604437643458254,0.009751204970328477,0.009241441349537924,"Crime, Drama, Mystery","Columbia Pictures, Otto Preminger Films",United States of America,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret."
34,0.0128,0.02510720494494881,0.5054945054945055,0.01067790843577207,0.3575757575757576,0.22953328232593706,0.022372050260496476,0.020479089673976044,"Action, Drama, Crime","Warner Bros.-Seven Arts, Jalem Productions",United States of America,"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers."
106,0.0008,0.07141974116283561,0.4725274725274725,0.009546913273400423,0.18787878787878787,0.30604437643458254,0.09999164182431115,0.09291917862392547,Western,"Jolly Film, Ocean Films, Constantin Film","Germany, Italy, Spain","The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit."
135,0.011535392,0.0955688622754491,0.4175824175824176,0.016460195298966248,0.32727272727272727,0.5348125478194335,0.0790962026021787,0.07695104308190245,"Comedy, Romance, Crime",The Mirisch Company,United States of America,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor."
8,0.0056,0.013200695383426693,0.31868131868131866,0.005530625620452659,0.4303030303030303,0.5348125478194335,0.025464575265372078,0.025313388265734333,Drama,20th Century Fox,United States of America,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit."
71,0.06,0.10874251497005985,0.945054945054945,0.037038824955643146,0.48484848484848486,0.308339709257842,0.24701195219123506,0.22934157297267582,"Adventure, Drama","River Road Entertainment, Paramount Vantage, The Linson Company, Square One C.I.H.",United States of America,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness."
182,0.076,0.03791771296117442,0.7692307692307693,0.17957607050122873,0.3090909090909091,0.6885998469778118,0.4353495110467222,0.4307627186570334,"Crime, Drama, Thriller","Orion Pictures, Strong Heart",United States of America,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."
139,0.0048,0.010326443886420707,0.32967032967032966,0.004608854683710549,0.2,0.20428462127008368,0.029587941938539548,0.0269025505212263,"Crime, Thriller",Warner Bros. Pictures,United States of America,"Having met on a train, a smooth-talking psychotic socialite shares his theory on how two complete strangers can get away with murder to an amateur tennis player — a theory he plans to test out."
179,0.064,0.2046706586826347,0.7252747252747253,0.02034480138952228,0.18787878787878787,0.22953328232593706,0.10873986571197726,0.09953908717002305,"Adventure, Family, Fantasy, Comedy, Romance","The Princess Bride Ltd., Buttercup Films Ltd., Act III Productions",United States of America,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing."
18,0.076,0.48501448715472273,0.7032967032967034,0.25092564451450183,0.2909090909090909,0.6885998469778118,0.5359540857548826,0.5300308754627843,"Adventure, Comedy, Science Fiction","Universal Pictures, Amblin Entertainment",United States of America,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
